seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGene	DistanceToNearest
chr17	7818711	7819782	1072	*	6.22	6.52	5.84	0.68	6.26e-05	0.00972	AC025335.1	0
chr1	2221898	2222550	653	*	5.77	6.1	5.33	0.77	6.28e-05	0.00974	SKI	0
chr19	46009589	46010919	1331	*	6.72	7.1	6.21	0.89	6.32e-05	0.00977	VASP	0
chr11	85809068	85809382	315	*	2.67	1.19	3.39	-2.2	6.35e-05	0.00981	snoU13	3731
chr19	1940448	1941553	1106	*	6.9	7.27	6.38	0.89	6.38e-05	0.00983	CSNK1G2	0
chr18	9913451	9914844	1394	*	7.86	8.2	7.41	0.78	6.43e-05	0.00985	VAPA	0
chr6	31794966	31795744	779	*	6.18	6.63	5.54	1.09	6.44e-05	0.00985	HSPA1B	0
chr5	14286726	14287740	1015	*	6.14	5.72	6.46	-0.74	6.44e-05	0.00985	TRIO	0
chr6	26537422	26538936	1515	*	8.05	8.26	7.81	0.44	6.44e-05	0.00985	HMGN4	0
chr17	40828913	40829442	530	*	6.06	6.38	5.66	0.72	6.45e-05	0.00985	PLEKHH3	0
chr1	113497962	113499523	1562	*	7.97	8.28	7.59	0.69	6.49e-05	0.00986	SLC16A1; RP11-31F15.1	0
chr2	26100371	26101850	1480	*	7.61	7.93	7.2	0.74	6.5e-05	0.00986	ASXL2	0
chrX	65145907	65146901	995	*	6.13	5.75	6.42	-0.67	6.5e-05	0.00986	RP6-159A1.2	29229
chr19	18263171	18264264	1094	*	7.12	7.43	6.73	0.7	6.59e-05	0.00998	PIK3R2; PIK3R2	0
chr4	39183665	39184416	752	*	7.42	7.66	7.13	0.54	6.6e-05	0.00998	WDR19	0
chr10	74033284	74034294	1011	*	6.98	7.39	6.42	0.96	6.65e-05	0.01	DDIT4	0
chr16	56965339	56967149	1811	*	7.51	7.78	7.19	0.59	6.69e-05	0.0101	HERPUD1	0
chrY	17577682	17578154	473	*	3.12	1.74	3.81	-2.07	6.71e-05	0.0101	HDHD1P1	9728
chr17	41496118	41496762	645	*	4.47	4.91	3.82	1.09	6.77e-05	0.0102	RNU6-470P	6220
chr1	109642452	109643379	928	*	6.69	7.03	6.24	0.79	6.86e-05	0.0103	SCARNA2	0
chr17	41392304	41393951	1648	*	6.2	6.63	5.61	1.02	6.92e-05	0.0103	LINC00854	8966
chr19	50432182	50433523	1342	*	6.67	7.06	6.12	0.95	6.94e-05	0.0104	IL4I1; NUP62; CTC-326K19.6; ATF5	0
chr19	2061165	2062034	870	*	6.55	6.9	6.07	0.83	7.01e-05	0.0104	MOB3A	9002
chr1	161087303	161088253	951	*	6.55	6.85	6.17	0.68	7.07e-05	0.0105	PFDN2; NIT1	0
chr12	56367160	56368198	1039	*	8.11	8.36	7.81	0.55	7.08e-05	0.0105	RAB5B	0
chr14	102552899	102554146	1248	*	7.88	8.24	7.4	0.83	7.16e-05	0.0106	HSP90AA1	0
chr22	31045310	31045872	563	*	3.87	4.42	2.96	1.45	7.18e-05	0.0106	SLC35E4	0
chr9	131939754	131940899	1146	*	7.13	7.43	6.73	0.7	7.24e-05	0.0107	IER5L; RP11-247A12.8; RP11-247A12.2	0
chr17	7297551	7298540	990	*	6.02	6.37	5.55	0.82	7.25e-05	0.0107	TMEM256-PLSCR3; C17orf61-PLSCR3	0
chr11	99110974	99111379	406	*	3.99	3.15	4.52	-1.37	7.27e-05	0.0107	CNTN5	0
chr4	70175168	70175611	444	*	2.97	1.62	3.65	-2.03	7.29e-05	0.0107	RP11-618I10.4	2277
chr1	212352890	212353417	528	*	4.5	4.93	3.88	1.05	7.34e-05	0.0107	RP11-15I11.2	0
chr1	146714003	146715018	1016	*	7.54	7.79	7.24	0.54	7.35e-05	0.0107	RP11-337C18.10; FMO5; CHD1L	0
chr19	530874	532159	1286	*	6.99	7.31	6.57	0.74	7.36e-05	0.0107	CDC34	0
chr16	67269876	67270826	951	*	6.34	6.6	6.01	0.59	7.47e-05	0.0109	FHOD1	0
chr6	74413861	74414432	572	*	4.52	5.03	3.74	1.29	7.52e-05	0.0109	CD109	0
chr15	75165120	75166101	982	*	6.33	6.64	5.95	0.68	7.53e-05	0.0109	SCAMP2	0
chr9	19787706	19788030	325	*	4.12	3.36	4.61	-1.25	7.55e-05	0.0109	SLC24A2	780
chr11	62538623	62539429	807	*	6.4	6.75	5.95	0.8	7.63e-05	0.011	RP11-727F15.11; TAF6L; TMEM223	0
chr16	9184885	9186224	1340	*	8.12	8.46	7.67	0.79	7.73e-05	0.0111	C16orf72	0
chrY	10019834	10020035	202	*	4.49	4.94	3.83	1.11	7.75e-05	0.0111	CDC27P2	7950
chr8	86195431	86195675	245	*	2.71	1.27	3.41	-2.15	7.76e-05	0.0111	CA13	0
chr1	112135373	112135965	593	*	3.72	4.25	2.87	1.38	7.78e-05	0.0112	RAP1A	0
chr9	71650479	71651323	845	*	7.27	7.48	7.02	0.46	7.79e-05	0.0112	FXN	0
chr17	7475644	7477382	1739	*	7.9	8.33	7.28	1.05	7.87e-05	0.0112	SENP3-EIF4A1; EIF4A1; SNORA67	0
chr19	7968129	7969142	1014	*	7.13	7.52	6.59	0.93	7.91e-05	0.0113	AC010336.1; MAP2K7	0
chr22	35772743	35773440	698	*	5.3	5.66	4.82	0.84	7.93e-05	0.0113	HMOX1	2913
chr6	20188865	20189225	361	*	3.42	2.4	4.02	-1.62	7.99e-05	0.0114	MBOAT1	0
chr18	21032882	21033646	765	*	6.68	6.95	6.36	0.58	8e-05	0.0114	RIOK3	0
chr9	26437361	26437768	408	*	3.17	2.05	3.79	-1.74	8.04e-05	0.0114	AL442639.1	176269
chr14	75743668	75744199	532	*	5.77	6.09	5.37	0.72	8.05e-05	0.0114	FOS	1277
chr17	33478046	33478353	308	*	6.39	6.76	5.88	0.88	8.06e-05	0.0114	UNC45B	0
chr9	2032178	2032673	496	*	4.68	4.02	5.14	-1.11	8.1e-05	0.0114	SMARCA2	0
chr10	103577764	103578831	1068	*	7.32	7.64	6.92	0.71	8.15e-05	0.0114	MGEA5	0
chr2	44588835	44589603	769	*	5.55	5.88	5.11	0.76	8.18e-05	0.0114	PREPL; CAMKMT	0
chr7	95111731	95112232	502	*	4.06	3.26	4.57	-1.31	8.18e-05	0.0114	ASB4	0
chr6	26216457	26217762	1306	*	7.2	7.48	6.86	0.62	8.19e-05	0.0114	HIST1H2BG; HIST1H2AE	0
chr9	132404089	132404968	880	*	6.87	7.16	6.5	0.66	8.21e-05	0.0114	ASB6	0
chr10	90145243	90145977	735	*	4.69	4.07	5.13	-1.05	8.22e-05	0.0114	RNLS	0
chr6	34664059	34665154	1096	*	7.04	7.32	6.69	0.63	8.26e-05	0.0115	C6orf106; RP11-140K17.3	0
chr22	44341612	44342290	679	*	4.14	4.61	3.42	1.19	8.28e-05	0.0115	PNPLA3	0
chr16	46386111	46386874	764	*	6.28	6.61	5.84	0.78	8.31e-05	0.0115	ANKRD26P1	116378
chr16	46406870	46407056	187	*	4.27	4.75	3.55	1.2	8.35e-05	0.0115	ANKRD26P1	96196
chr6	41754116	41754675	560	*	5.98	6.36	5.45	0.92	8.36e-05	0.0115	FRS3; PRICKLE4	0
chr6	44213669	44215735	2067	*	7.83	8.21	7.31	0.9	8.37e-05	0.0115	HSP90AB1	0
chr11	58331727	58332057	331	*	2.86	1.55	3.54	-1.99	8.39e-05	0.0115	LPXN	0
chr20	26189241	26189447	207	*	6.24	6.61	5.74	0.87	8.4e-05	0.0115	MIR663A	0
chr19	45256413	45257019	607	*	5.81	6.19	5.3	0.89	8.41e-05	0.0115	BCL3	0
chr14	43353301	43353713	413	*	3.91	2.97	4.48	-1.51	8.43e-05	0.0115	RP11-97N10.1	75986
chr18	12407572	12408499	928	*	6.91	7.21	6.54	0.66	8.47e-05	0.0116	SLMO1	0
chr12	120728751	120730196	1446	*	6.65	7.03	6.12	0.91	8.68e-05	0.0118	RNU4-2	0
chr11	85194948	85195358	411	*	7.75	8.11	7.29	0.82	8.71e-05	0.0118	DLG2	0
chr4	39640013	39640972	960	*	7.03	7.35	6.63	0.72	8.71e-05	0.0118	SMIM14; RP11-539G18.2	0
chr6	4358791	4359274	484	*	4.12	4.6	3.41	1.19	8.73e-05	0.0118	RP3-527G5.1	11520
chr9	35731892	35732774	883	*	7.44	7.78	6.99	0.8	8.79e-05	0.0119	TLN1; CREB3	0
chr1	89356574	89357637	1064	*	7.15	7.38	6.87	0.5	8.8e-05	0.0119	GTF2B	0
chr16	67875546	67876586	1041	*	6.67	6.95	6.32	0.63	8.83e-05	0.0119	CENPT; THAP11	0
chr4	78077724	78079641	1918	*	8.27	8.47	8.03	0.44	8.85e-05	0.0119	CCNG2	0
chr20	26189720	26190560	841	*	8.56	8.92	8.09	0.83	8.86e-05	0.0119	MIR663A	0
chr2	182055436	182055866	431	*	3.8	2.87	4.36	-1.49	8.87e-05	0.0119	AC104820.2	0
chr2	156879694	156880358	665	*	4.97	4.38	5.39	-1.01	8.88e-05	0.0119	AC093375.1	0
chrX	47052735	47053530	796	*	5.81	6.15	5.36	0.79	8.9e-05	0.0119	UBA1	0
chr9	35718953	35719629	677	*	5.1	5.48	4.59	0.89	8.91e-05	0.0119	TLN1	0
chr16	73430410	73431036	627	*	5.24	4.7	5.63	-0.94	8.96e-05	0.012	RP11-140I24.1	0
chr10	42599570	42600109	540	*	4.92	5.31	4.38	0.93	8.98e-05	0.012	KSR1P1	44648
chr7	120567765	120568141	377	*	2.62	1.13	3.34	-2.21	9.02e-05	0.012	ING3	22661
chr17	46102375	46103073	699	*	6.36	6.66	5.99	0.67	9.05e-05	0.012	COPZ2	459
chr3	53925571	53926355	785	*	7.44	7.66	7.19	0.47	9.09e-05	0.012	SELK	0
chr14	96000673	96001940	1268	*	8.27	8.53	7.95	0.59	9.13e-05	0.0121	SNHG10; GLRX5	0
chr8	29848508	29848931	424	*	4.43	4.87	3.78	1.09	9.17e-05	0.0121	MIR3148	33644
chr16	23515995	23516537	543	*	4.65	5.09	4.01	1.08	9.19e-05	0.0121	GGA2	0
chr1	109825492	109826399	908	*	6.19	6.47	5.84	0.63	9.21e-05	0.0121	PSRC1	0
chr19	46766177	46766507	331	*	3.12	3.74	2	1.75	9.28e-05	0.0122	IGFL1P2	2062
chr1	156186162	156186690	529	*	8.88	9.22	8.43	0.79	9.38e-05	0.0123	PMF1-BGLAP; PMF1	0
chr19	34849885	34850726	842	*	7	7.29	6.64	0.65	9.38e-05	0.0123	AC010504.2; GPI	0
chr19	7197757	7198675	919	*	6.48	6.86	5.98	0.88	9.4e-05	0.0123	INSR	0
chr2	113693659	113694280	622	*	5.16	5.53	4.65	0.88	9.42e-05	0.0123	AC079753.5	2911
chr22	30722584	30723436	853	*	6.01	6.36	5.55	0.82	9.43e-05	0.0123	TBC1D10A	0
chr10	25547572	25547904	333	*	3.04	1.79	3.69	-1.9	9.44e-05	0.0123	GPR158	0
chr1	154946613	154947597	985	*	7.01	7.34	6.57	0.77	9.53e-05	0.0124	SHC1; CKS1B	0
chr3	49058526	49059784	1259	*	7.41	7.86	6.73	1.13	9.57e-05	0.0124	DALRD3; NDUFAF3	0
chr9	35603810	35604609	800	*	6.94	7.28	6.51	0.76	9.59e-05	0.0124	TESK1	757
chr5	141736298	141737164	867	*	6.99	7.25	6.68	0.57	9.6e-05	0.0124	AC005592.2	0
chr16	70838310	70838838	529	*	5.32	5.71	4.78	0.94	9.69e-05	0.0125	RP11-424M24.5	1567
chr19	3683669	3684358	690	*	4.66	5.09	4.04	1.06	9.69e-05	0.0125	PIP5K1C	0
chr10	42387206	42387418	213	*	4.96	5.35	4.43	0.92	9.73e-05	0.0125	KSR1P1	257339
chr2	145171742	145172544	803	*	6.58	6.85	6.24	0.61	9.77e-05	0.0125	ZEB2	0
chr20	48598807	48599880	1074	*	6.54	6.86	6.15	0.71	9.83e-05	0.0126	SNAI1	0
chr19	17447960	17448503	544	*	5.71	6.06	5.26	0.8	9.87e-05	0.0126	GTPBP3	0
chr1	36840005	36840657	653	*	5.3	5.66	4.8	0.86	9.92e-05	0.0127	STK40	0
chr8	103973705	103974444	740	*	5.13	4.59	5.52	-0.93	9.97e-05	0.0127	KB-1507C5.2	0
chr11	20133646	20134533	888	*	5.49	5.81	5.07	0.74	9.98e-05	0.0127	NAV2	0
chr3	69061956	69063288	1333	*	8.22	8.38	8.04	0.34	1e-04	0.0127	EOGT; CTD-2013N24.2	0
chr19	12845063	12845791	729	*	5.84	6.3	5.15	1.15	1e-04	0.0127	C19orf43	0
chr8	579187	580429	1243	*	7.35	7.57	7.09	0.48	0.000101	0.0128	ERICH1	0
chr2	89166255	89166885	631	*	5.03	4.5	5.41	-0.91	0.000101	0.0128	AC096579.7	602
chr17	41322851	41323450	600	*	6.03	6.38	5.56	0.82	0.000101	0.0128	NBR1	0
chr21	43429775	43431249	1475	*	7.44	7.74	7.06	0.68	0.000102	0.0129	ZBTB21; ZNF295-AS1	0
chr2	67843908	67844300	393	*	2.78	1.44	3.47	-2.03	0.000103	0.013	AC010987.5	0
chr6	52568931	52569212	282	*	2.84	1.37	3.56	-2.19	0.000105	0.0131	RP1-152L7.3	308
chr7	13179159	13179423	265	*	2.91	1.62	3.58	-1.96	0.000105	0.0131	AC011288.2	0
chr17	79828478	79829587	1110	*	6.55	6.95	5.99	0.97	0.000105	0.0131	ARHGDIA	0
chr17	51183032	51183740	709	*	5.11	5.49	4.59	0.9	0.000105	0.0131	RP11-750B16.1	0
chr16	10837493	10838367	875	*	6.95	7.29	6.53	0.76	0.000106	0.0132	NUBP1	0
chr10	108796881	108797234	354	*	4.06	3.29	4.55	-1.27	0.000106	0.0132	SORCS1	0
chr2	133016732	133017310	579	*	5.71	6.03	5.29	0.74	0.000106	0.0132	ANKRD30BL	1190
chr3	50648917	50649792	876	*	6.97	7.19	6.71	0.48	0.000107	0.0132	CISH; MAPKAPK3	0
chr12	8395384	8396582	1199	*	7	7.36	6.52	0.84	0.000107	0.0132	FAM86FP	0
chr20	33463746	33464763	1018	*	6.91	7.25	6.48	0.77	0.000107	0.0132	ACSS2	0
chr8	70602276	70602678	403	*	7.16	7.49	6.72	0.77	0.000107	0.0132	SLCO5A1	0
chr4	111076823	111077180	358	*	3.17	2.01	3.81	-1.8	0.000107	0.0132	ELOVL6	0
chr14	85887653	85888325	673	*	5.53	5.88	5.07	0.81	0.000107	0.0132	CTD-2128A3.2	0
chr5	94129086	94129463	378	*	4.53	4.97	3.88	1.09	0.000108	0.0132	MCTP1; CTC-484P3.3	0
chr22	29663626	29664426	801	*	6.04	6.39	5.57	0.82	0.000108	0.0132	RHBDD3; EWSR1	0
chr4	153383120	153383634	515	*	4.46	3.77	4.92	-1.14	0.000108	0.0132	FBXW7	0
chr17	42263781	42264852	1072	*	6.6	7.01	6.04	0.96	0.000108	0.0132	ASB16-AS1; TMUB2	0
chr19	7556889	7557557	669	*	5.14	5.52	4.62	0.9	0.000108	0.0132	PEX11G	0
chr2	133022870	133023420	551	*	5.75	6.05	5.36	0.69	0.000109	0.0133	CDC27P1	2255
chr1	208195040	208195465	426	*	4.96	5.36	4.41	0.95	0.000109	0.0133	PLXNA2	121
chr6	88535606	88535855	250	*	2.47	0.84	3.21	-2.37	0.00011	0.0133	Y_RNA	35
chr17	1366518	1367030	513	*	4.24	4.7	3.55	1.15	0.00011	0.0133	CRK	62
chr1	38273223	38274541	1319	*	6.9	7.2	6.51	0.69	0.00011	0.0133	YRDC; C1orf122	0
chr3	13455488	13456379	892	*	7.65	7.88	7.39	0.49	0.000111	0.0135	NUP210	0
chr17	25571400	25572793	1394	*	7.07	7.28	6.83	0.46	0.000111	0.0135	RP11-663N22.1	2713
chr19	44174213	44174574	362	*	5.33	5.67	4.9	0.77	0.000112	0.0135	PLAUR	0
chr5	157030339	157030799	461	*	4.61	5.04	3.99	1.06	0.000113	0.0136	AC008694.2	915
chr19	4007051	4008176	1126	*	6.82	7.14	6.4	0.74	0.000113	0.0136	PIAS4	0
chr3	120460971	120462101	1131	*	7.87	8.06	7.65	0.41	0.000114	0.0137	RABL3; GTF2E1	0
chr22	21056833	21057717	885	*	5.81	6.25	5.18	1.07	0.000115	0.0138	TMEM191A	0
chr15	43212455	43213485	1031	*	6.92	7.27	6.44	0.83	0.000115	0.0138	TTBK2	0
chr4	155447278	155447660	383	*	4.3	3.6	4.77	-1.17	0.000116	0.0138	RP11-158C21.2	1319
chr2	187519920	187520322	403	*	4.08	3.27	4.59	-1.32	0.000116	0.0138	ITGAV; AC017101.10	0
chr9	130281507	130282139	633	*	4.55	4.97	3.96	1.01	0.000116	0.0138	FAM129B	0
chr2	133029593	133029766	174	*	5.04	5.41	4.55	0.87	0.000116	0.0138	CDC27P1	8978
chr17	57970070	57971027	958	*	6.6	6.93	6.18	0.75	0.000117	0.0138	TUBD1; RPS6KB1	0
chr4	180725608	180726124	517	*	4.01	3.14	4.54	-1.4	0.000117	0.0138	RP11-774G5.1	51881
chr1	91852725	91853208	484	*	8.4	8.73	7.96	0.78	0.000117	0.0139	HFM1	0
chr17	8059457	8060411	955	*	7.37	7.75	6.86	0.88	0.000117	0.0139	PER1; RP11-599B13.6	0
chr22	39915642	39916621	980	*	6.53	6.91	6.02	0.89	0.000118	0.0139	ATF4	0
chr1	27021789	27022772	984	*	6.69	7	6.31	0.69	0.000118	0.0139	ARID1A	0
chr16	67514602	67515594	993	*	6.78	7.07	6.41	0.67	0.000119	0.014	ATP6V0D1; RP11-297D21.4	0
chr1	116518552	116519754	1203	*	6.91	7.18	6.58	0.59	0.000119	0.014	SLC22A15	0
chr2	32234506	32235300	795	*	5.83	6.15	5.43	0.72	0.00012	0.0141	MEMO1; DPY30	0
chr11	10879065	10880618	1554	*	7.71	7.93	7.45	0.48	0.00012	0.0141	ZBED5; ZBED5-AS1	0
chr19	796783	798129	1347	*	7.87	8.28	7.28	1	0.00012	0.0141	PTBP1	0
chr17	37356176	37356416	241	*	3.73	4.28	2.86	1.42	0.000121	0.0142	RPL19	119
chr4	25175130	25175566	437	*	5.55	5.88	5.11	0.77	0.000122	0.0142	PI4K2B	0
chr12	104457564	104458945	1382	*	7.34	7.57	7.06	0.51	0.000122	0.0142	GLT8D2; HCFC2	0
chr3	63980704	63981100	397	*	4.69	5.1	4.11	1	0.000122	0.0142	ATXN7	0
chr12	6982257	6983012	756	*	6.58	6.98	6.03	0.95	0.000122	0.0142	SPSB2; RPL13P5; LRRC23	0
chr15	64387947	64388463	517	*	5.6	6.01	5.04	0.97	0.000123	0.0142	SNX1	0
chr4	114389342	114389907	566	*	4.41	4.89	3.67	1.21	0.000123	0.0143	CAMK2D	0
chr3	59545373	59546055	683	*	5.75	6.06	5.36	0.7	0.000124	0.0143	RP11-719N22.1	23232
chr6	31707390	31708049	660	*	6.76	7.09	6.33	0.76	0.000124	0.0143	CLIC1; MSH5; MSH5-SAPCD1	0
chr11	49349313	49349668	356	*	2.68	1.11	3.42	-2.31	0.000124	0.0143	CTD-2026G22.1	0
chr16	19533052	19533661	610	*	6.13	6.42	5.76	0.67	0.000124	0.0143	GDE1	0
chr1	29507714	29508869	1156	*	7.32	7.65	6.9	0.75	0.000125	0.0144	SRSF4	0
chr17	41446124	41446833	710	*	5.6	5.94	5.17	0.77	0.000125	0.0144	LINC00910	379
chr3	179955935	179956681	747	*	4.77	4.19	5.19	-1	0.000125	0.0144	GAPDHP36	25039
chr13	106752929	106753350	422	*	4.81	4.25	5.22	-0.97	0.000125	0.0144	AL603632.1	27369
chr16	4303399	4304329	931	*	7.17	7.55	6.67	0.88	0.000126	0.0144	RP11-95P2.1	0
chr19	13172059	13172480	422	*	4.27	4.73	3.61	1.12	0.000126	0.0144	NFIX	0
chr20	48552668	48553605	938	*	5.75	6.1	5.29	0.8	0.000126	0.0144	RNF114	0
chr14	34521133	34521583	451	*	5.27	5.62	4.8	0.82	0.000127	0.0144	EGLN3; EGLN3-AS1	0
chr17	45908620	45909337	718	*	5.5	5.86	5.02	0.84	0.000127	0.0144	MRPL10; LRRC46	0
chr19	56165059	56167010	1952	*	8.29	8.64	7.82	0.82	0.000127	0.0144	U2AF2	0
chr12	54805115	54805769	655	*	5.44	5.84	4.87	0.97	0.000128	0.0145	RP11-753H16.3; RP11-753H16.5; ITGA5	0
chr17	47865646	47866802	1157	*	7.08	7.42	6.62	0.79	0.000128	0.0145	FAM117A; KAT7	0
chr7	50312954	50313266	313	*	4.17	3.45	4.65	-1.2	0.000128	0.0145	AC020743.4	1119
chr9	34701128	34701855	728	*	4.94	5.33	4.4	0.93	0.000131	0.0148	CCL21	7146
chr22	41842621	41843349	729	*	6.25	6.62	5.76	0.86	0.000132	0.0148	TOB2	0
chr6	41747250	41747980	731	*	6.94	7.26	6.53	0.72	0.000132	0.0148	FRS3	0
chr12	65152752	65153640	889	*	6.7	6.96	6.37	0.6	0.000134	0.015	GNS; RP11-629N8.3	0
chr1	188231016	188231567	552	*	4.55	3.94	4.98	-1.04	0.000134	0.0151	RP11-405P11.1	19207
chr19	46000061	46000730	670	*	5.81	6.19	5.3	0.89	0.000135	0.0151	RTN2; PPM1N	0
chr2	70369181	70370177	997	*	7.63	7.91	7.29	0.62	0.000135	0.0151	C2orf42	6834
chr10	103113357	103114486	1130	*	7.32	7.58	6.99	0.6	0.000135	0.0151	BTRC	0
chr17	57232231	57233269	1039	*	7.56	7.85	7.2	0.65	0.000135	0.0151	SKA2; PRR11	0
chr21	9825455	9827583	2129	*	11.42	11.76	10.97	0.79	0.000137	0.0152	MIR3648; MIR3687	0
chr1	151170736	151171173	438	*	5	5.39	4.48	0.91	0.000138	0.0153	PIP5K1A	0
chr14	57226890	57227230	341	*	3.56	4.13	2.63	1.5	0.000138	0.0154	RP11-1085N6.4	0
chr3	27616977	27617529	553	*	3.88	3.08	4.39	-1.31	0.000139	0.0154	Y_RNA	27628
chr19	35758906	35759627	722	*	5.9	6.34	5.27	1.06	0.000139	0.0154	LSR	39
chr1	27481060	27482136	1077	*	6.38	6.75	5.88	0.87	0.000139	0.0154	SLC9A1	0
chr19	49468254	49468720	467	*	6.1	6.52	5.5	1.02	0.000139	0.0154	CTD-2639E6.9; FTL	0
chr2	72353243	72353904	662	*	5.69	5.24	6.03	-0.79	0.00014	0.0155	CYP26B1	2462
chr11	61196802	61197854	1053	*	6.67	6.99	6.25	0.74	0.000141	0.0155	CPSF7; RP11-286N22.8; SDHAF2	0
chr3	56153963	56154380	418	*	3.45	4.02	2.48	1.54	0.000141	0.0155	ERC2	0
chr14	41163304	41163650	347	*	2.87	1.37	3.59	-2.22	0.000141	0.0155	RP11-129M6.1	260452
chr10	126605000	126606371	1372	*	7.86	8.11	7.55	0.55	0.000141	0.0155	RP11-298J20.4	0
chr10	8601777	8602198	422	*	6.01	5.62	6.32	-0.7	0.000141	0.0155	KRT8P37	44708
chr1	218959270	218959747	478	*	4.07	3.34	4.55	-1.22	0.000142	0.0155	RP11-412H9.1	95194
chr3	85633986	85634487	502	*	5.16	4.66	5.54	-0.87	0.000142	0.0155	CADM2	0
chr3	172035740	172036160	421	*	5.11	5.47	4.64	0.83	0.000142	0.0155	FNDC3B; AC092964.1	0
chr15	73925293	73926154	862	*	7.09	7.38	6.73	0.64	0.000142	0.0155	NPTN	0
chr19	49990307	49991146	840	*	6.43	6.72	6.08	0.64	0.000142	0.0155	CTD-3148I10.15; RPL13A	0
chr19	41256145	41257225	1081	*	7.03	7.36	6.6	0.77	0.000142	0.0155	C19orf54; SNRPA	0
chr7	35502884	35503147	264	*	2.21	0.44	2.98	-2.54	0.000143	0.0155	AC007652.1	32483
chr20	47444120	47445123	1004	*	6.48	6.8	6.05	0.76	0.000143	0.0155	PREX1	0
chr1	182360152	182361569	1418	*	8.09	8.4	7.68	0.72	0.000143	0.0155	GLUL	0
chr16	4475290	4476345	1056	*	6.79	7.11	6.38	0.73	0.000144	0.0155	CORO7; DNAJA3	0
chr1	99828785	99829649	865	*	4.96	4.42	5.35	-0.93	0.000144	0.0156	LPPR4	53639
chr18	3790664	3791129	466	*	5.19	4.7	5.56	-0.86	0.000145	0.0156	DLGAP1	0
chr11	67055518	67057092	1575	*	8.24	8.68	7.6	1.08	0.000145	0.0156	ANKRD13D	0
chr1	11967816	11969915	2100	*	7.71	8.08	7.21	0.87	0.000145	0.0156	RNU5E-1; RNU5E-4P	0
chr19	1383161	1384348	1188	*	6.57	6.91	6.11	0.81	0.000145	0.0156	NDUFS7	0
chr6	41039516	41041699	2184	*	9.32	9.63	8.93	0.7	0.000146	0.0156	OARD1; NFYA	0
chr22	18280672	18281362	691	*	4.48	3.86	4.91	-1.05	0.000146	0.0156	MICAL3; XXbac-B461K10.4	0
chrX	48815053	48815962	910	*	6.57	6.92	6.09	0.83	0.000146	0.0156	OTUD5	0
chr19	1268990	1269878	889	*	6.87	7.26	6.34	0.92	0.000147	0.0156	CIRBP; CIRBP-AS1	0
chr16	14181998	14182309	312	*	3.15	3.8	1.95	1.85	0.000147	0.0156	MKL2	0
chr11	65548177	65549035	859	*	6.03	6.41	5.51	0.9	0.000147	0.0156	AP5B1	0
chr10	96391153	96391629	477	*	3.38	2.34	3.98	-1.63	0.000147	0.0156	CTBP2P2	14491
chr5	137799617	137801711	2095	*	8.81	9.12	8.41	0.71	0.000147	0.0156	EGR1	0
chr2	230045418	230045685	268	*	5.94	6.28	5.49	0.79	0.000147	0.0156	PID1	0
chr3	109522144	109522513	370	*	3.33	2.3	3.93	-1.63	0.000147	0.0156	RP11-457K10.1	0
chr5	16778156	16778741	586	*	5.36	5.7	4.9	0.81	0.000148	0.0156	MYO10	0
chr19	47363279	47364573	1295	*	7.38	7.79	6.81	0.98	0.000148	0.0157	AP2S1	9030
chr7	72298506	72299143	638	*	7.12	7.39	6.8	0.59	0.00015	0.0159	TYW1B	0
chr9	140134759	140136411	1653	*	8.35	8.68	7.91	0.78	0.000151	0.0159	TUBB4B	0
chr19	36066435	36066811	377	*	4.78	5.18	4.23	0.95	0.000151	0.0159	ATP4A	11875
chr12	82352287	82352627	341	*	2.78	1.39	3.47	-2.08	0.000152	0.0159	RP11-362A1.1	0
chr12	53773057	53774640	1584	*	8.37	8.72	7.92	0.81	0.000152	0.0159	SP1	0
chr2	61921522	61922334	813	*	6.72	7	6.38	0.61	0.000152	0.0159	AC108039.1	14876
chr17	55739950	55740728	779	*	6.43	6.71	6.07	0.64	0.000152	0.0159	MSI2	0
chr5	20318541	20318913	373	*	4.03	3.29	4.52	-1.23	0.000152	0.0159	CDH18; RP11-420O16.1	0
chr6	55778096	55778647	552	*	5.32	4.85	5.67	-0.82	0.000153	0.0159	NPM1P36	25940
chr1	15850449	15851913	1465	*	8.08	8.47	7.53	0.94	0.000153	0.0159	CASP9	0
chr6	32936040	32936759	720	*	6.77	7.15	6.27	0.87	0.000153	0.0159	HLA-DMA; BRD2	0
chr4	159456443	159456817	375	*	4.8	5.21	4.21	1	0.000153	0.0159	RXFP1	0
chr11	70270049	70270671	623	*	5.14	5.49	4.66	0.83	0.000153	0.0159	CTTN	0
chr15	93850728	93851412	685	*	5.3	4.84	5.64	-0.81	0.000153	0.0159	RP11-266O8.1	4373
chr14	35017054	35017413	360	*	3.41	4	2.41	1.58	0.000154	0.0159	RNU1-27P	971
chr9	117279183	117279527	345	*	3.72	4.27	2.84	1.43	0.000154	0.016	DFNB31	11453
chr3	62164449	62164782	334	*	3.42	4.02	2.35	1.67	0.000155	0.016	PTPRG	0
chr16	1822887	1823637	751	*	5.66	6	5.21	0.79	0.000158	0.0163	MRPS34; EME2	0
chr20	47894457	47895456	1000	*	7.73	8.08	7.26	0.82	0.000158	0.0163	ZNFX1; ZFAS1	0
